,LastName,Week,Stage,Historical_Cumulative,WeeklyGoal,Current_Cumulative,GoalVariance
4297,GregoryGBC,34,Com,65.0,88.53846153846155,77.0,-11.538461538461547
4298,GregoryGBC,35,Com,66.0,90.23076923076923,78.0,-12.230769230769226
4299,GregoryGBC,36,Com,66.33333333333333,91.25641025641025,79.0,-12.256410256410248
4300,GregoryGBC,37,Com,67.0,92.61538461538461,80.0,-12.615384615384613
4301,GregoryGBC,38,Com,68.0,94.3076923076923,80.0,-14.307692307692307
4302,GregoryGBC,39,Com,68.0,95.0,80.0,-15.0
4303,GregoryGBC,40,Com,68.33333333333333,96.02564102564102,80.0,-16.025641025641022
4304,GregoryGBC,41,Com,68.66666666666667,97.05128205128206,80.0,-17.051282051282058
4305,GregoryGBC,42,Com,68.66666666666667,97.74358974358975,80.0,-17.74358974358975
4306,GregoryGBC,43,Com,68.66666666666667,98.43589743589745,80.0,-18.435897435897445
4307,GregoryGBC,44,Com,68.66666666666667,99.12820512820514,80.0,-19.12820512820514
4308,GregoryGBC,45,Com,70.33333333333333,101.48717948717947,80.0,-21.487179487179475
4309,GregoryGBC,46,Com,70.66666666666667,102.51282051282053,80.0,-22.512820512820525
4310,GregoryGBC,47,Com,70.66666666666667,103.2051282051282,80.0,-23.205128205128204
4311,GregoryGBC,48,Com,70.66666666666667,103.89743589743591,80.0,-23.897435897435912
4312,GregoryGBC,49,Com,71.0,104.92307692307692,80.0,-24.92307692307692
4313,GregoryGBC,50,Com,71.66666666666667,106.28205128205128,80.0,-26.282051282051285
4314,GregoryGBC,51,Com,72.0,107.3076923076923,80.0,-27.307692307692307
4315,GregoryGBC,52,Com,72.0,108.0,80.0,-28.0
4316,GregoryGBC,1,Dep,0.3333333333333333,0.5705128205128205,0.0,-0.5705128205128205
4317,GregoryGBC,2,Dep,0.3333333333333333,0.8076923076923077,0.0,-0.8076923076923077
4318,GregoryGBC,3,Dep,0.3333333333333333,1.044871794871795,0.0,-1.044871794871795
4319,GregoryGBC,4,Dep,0.3333333333333333,1.282051282051282,0.0,-1.282051282051282
4320,GregoryGBC,5,Dep,0.3333333333333333,1.519230769230769,0.0,-1.519230769230769
4321,GregoryGBC,6,Dep,0.3333333333333333,1.7564102564102564,0.0,-1.7564102564102564
4322,GregoryGBC,7,Dep,0.3333333333333333,1.9935897435897434,0.0,-1.9935897435897434
4323,GregoryGBC,8,Dep,0.6666666666666666,2.564102564102564,0.0,-2.564102564102564
4324,GregoryGBC,9,Dep,0.6666666666666666,2.8012820512820507,0.0,-2.8012820512820507
4325,GregoryGBC,10,Dep,0.6666666666666666,3.038461538461538,0.0,-3.038461538461538
4326,GregoryGBC,11,Dep,1.0,3.6089743589743586,0.0,-3.6089743589743586
4327,GregoryGBC,12,Dep,1.0,3.8461538461538463,0.0,-3.8461538461538463
4328,GregoryGBC,13,Dep,1.6666666666666667,4.75,0.0,-4.75
4329,GregoryGBC,14,Dep,1.6666666666666667,4.987179487179487,0.0,-4.987179487179487
4330,GregoryGBC,15,Dep,1.6666666666666667,5.224358974358974,0.0,-5.224358974358974
4331,GregoryGBC,16,Dep,1.6666666666666667,5.461538461538462,0.0,-5.461538461538462
4332,GregoryGBC,17,Dep,1.6666666666666667,5.698717948717949,0.0,-5.698717948717949
4333,GregoryGBC,18,Dep,2.0,6.269230769230768,0.0,-6.269230769230768
4334,GregoryGBC,19,Dep,2.3333333333333335,6.839743589743589,0.0,-6.839743589743589
4335,GregoryGBC,20,Dep,2.6666666666666665,7.410256410256409,1.0,-6.410256410256409
4336,GregoryGBC,21,Dep,2.6666666666666665,7.647435897435898,4.0,-3.647435897435898
4337,GregoryGBC,22,Dep,2.6666666666666665,7.884615384615383,4.0,-3.8846153846153832
4338,GregoryGBC,23,Dep,3.0,8.455128205128204,4.0,-4.455128205128204
4339,GregoryGBC,24,Dep,3.3333333333333335,9.025641025641026,6.0,-3.0256410256410255
4340,GregoryGBC,25,Dep,5.666666666666667,11.596153846153847,10.0,-1.5961538461538467
4341,GregoryGBC,26,Dep,7.0,13.166666666666666,12.0,-1.166666666666666
4342,GregoryGBC,27,Dep,9.0,15.403846153846153,14.0,-1.4038461538461533
4343,GregoryGBC,28,Dep,10.333333333333334,16.974358974358974,14.0,-2.9743589743589745
4344,GregoryGBC,29,Dep,11.333333333333334,18.21153846153846,15.0,-3.21153846153846
4345,GregoryGBC,30,Dep,12.666666666666666,19.78205128205128,15.0,-4.782051282051281
4346,GregoryGBC,31,Dep,15.333333333333334,22.685897435897438,16.0,-6.685897435897438
4347,GregoryGBC,32,Dep,19.333333333333332,26.92307692307692,20.0,-6.92307692307692
4348,GregoryGBC,33,Dep,20.666666666666668,28.493589743589745,20.0,-8.493589743589745
4349,GregoryGBC,34,Dep,21.333333333333332,29.397435897435898,20.0,-9.397435897435898
4350,GregoryGBC,35,Dep,21.333333333333332,29.634615384615383,20.0,-9.634615384615383
4351,GregoryGBC,36,Dep,22.0,30.538461538461537,20.0,-10.538461538461537
4352,GregoryGBC,37,Dep,22.0,30.775641025641026,21.0,-9.775641025641026
4353,GregoryGBC,38,Dep,22.666666666666668,31.679487179487182,21.0,-10.679487179487182
