,Week,Stage,Historical_Cumulative,Current_Cumulative,GoalVariance
230,23,Inq,8996.666666666666,12099.0,2036.5192307692323
231,24,Inq,9098.666666666666,12389.0,2178.179487179488
232,25,Inq,9171.333333333334,12598.0,2268.173076923076
233,26,Inq,9252.333333333334,12836.0,2378.833333333332
234,27,Inq,9310.666666666666,13072.0,2510.1602564102577
235,28,Inq,9368.0,13264.0,2598.4871794871797
236,29,Inq,9450.666666666666,13317.0,2522.4807692307695
237,30,Inq,9502.333333333334,13353.0,2460.4743589743593
238,31,Inq,9559.0,13681.0,2685.467948717949
239,32,Inq,9610.666666666666,13892.0,2798.461538461539
240,33,Inq,9677.333333333334,14103.0,2896.455128205129
241,34,Inq,9743.0,14242.0,2923.4487179487187
242,35,Inq,9824.333333333334,14280.0,2833.7756410256407
243,36,Inq,9895.333333333334,14315.0,2751.4358974358984
244,37,Inq,9944.666666666666,14357.0,2697.762820512822
245,38,Inq,9976.333333333334,14386.0,2648.75641025641
246,39,Inq,10020.666666666666,14408.0,2580.083333333334
247,40,Inq,10050.666666666666,14450.0,2545.74358974359
248,41,Inq,10089.666666666666,14461.0,2471.4038461538476
249,42,Inq,10127.666666666666,14549.0,2475.0641025641035
250,43,Inq,10148.333333333334,14767.0,2626.0576923076915
251,44,Inq,10175.666666666666,14786.0,2571.384615384617
252,45,Inq,10208.0,14827.0,2533.711538461539
253,46,Inq,10228.0,14862.0,2502.371794871795
254,47,Inq,10250.666666666666,14897.0,2468.3653846153866
255,48,Inq,10271.333333333334,14934.0,2438.3589743589746
256,49,Inq,10293.0,14964.0,2400.3525641025644
257,50,Inq,10312.666666666666,15004.0,2374.346153846156
258,51,Inq,10344.666666666666,15004.0,2296.006410256412
259,52,Inq,10365.333333333334,15004.0,2229.0
260,1,Pay,0.0,0.0,-1.8141025641025648
261,2,Pay,0.0,0.0,-3.6282051282051295
262,3,Pay,0.0,0.0,-5.442307692307694
263,4,Pay,0.0,0.0,-7.256410256410259
264,5,Pay,0.0,0.0,-9.070512820512825
265,6,Pay,0.0,0.0,-10.884615384615389
266,7,Pay,0.0,0.0,-12.698717948717954
267,8,Pay,0.0,0.0,-14.512820512820518
268,9,Pay,0.0,0.0,-16.326923076923084
269,10,Pay,0.0,0.0,-18.14102564102565
270,11,Pay,0.0,0.0,-19.95512820512821
271,12,Pay,0.0,0.0,-21.769230769230777
272,13,Pay,0.0,0.0,-23.583333333333346
273,14,Pay,0.0,0.0,-25.39743589743591
274,15,Pay,0.0,0.0,-27.21153846153847
275,16,Pay,0.0,0.0,-29.025641025641036
276,17,Pay,0.0,0.0,-30.839743589743605
277,18,Pay,0.0,0.0,-32.65384615384617
278,19,Pay,0.0,0.0,-34.46794871794873
279,20,Pay,0.0,0.0,-36.2820512820513
280,21,Pay,0.0,0.0,-38.09615384615386
281,22,Pay,0.0,0.0,-39.91025641025642
282,23,Pay,0.0,0.0,-41.72435897435899
283,24,Pay,0.0,0.0,-43.538461538461554
284,25,Pay,0.0,0.0,-45.35256410256412
285,26,Pay,0.0,0.0,-47.16666666666669
286,27,Pay,0.0,0.0,-48.98076923076925
287,28,Pay,0.0,0.0,-50.79487179487182
288,29,Pay,0.0,0.0,-52.60897435897438
289,30,Pay,0.0,0.0,-54.42307692307694
290,31,Pay,0.0,0.0,-56.23717948717951
291,32,Pay,0.0,0.0,-58.05128205128207
292,33,Pay,0.0,1.0,-58.86538461538464
293,34,Pay,0.3333333333333333,1.0,-61.01282051282055
294,35,Pay,0.3333333333333333,1.0,-62.8269230769231
295,36,Pay,0.3333333333333333,1.0,-64.64102564102566
296,37,Pay,0.3333333333333333,1.0,-66.45512820512823
297,38,Pay,0.3333333333333333,1.0,-68.26923076923079
298,39,Pay,0.6666666666666666,1.0,-70.4166666666667
299,40,Pay,1.0,1.0,-72.5641025641026
300,41,Pay,2.3333333333333335,1.0,-75.7115384615385
301,42,Pay,4.0,2.0,-78.19230769230772
302,43,Pay,22.666666666666668,2.0,-98.67307692307696
303,44,Pay,44.0,4.0,-119.82051282051285
304,45,Pay,161.0,4.0,-238.63461538461542
305,46,Pay,414.3333333333333,241.0,-256.78205128205127
306,47,Pay,528.3333333333334,495.0,-118.59615384615392
307,48,Pay,543.3333333333334,570.0,-60.410256410256466
308,49,Pay,567.0,590.0,-65.89102564102564
309,50,Pay,595.6666666666666,644.0,-42.37179487179492
310,51,Pay,615.0,644.0,-63.51923076923083
311,52,Pay,627.6666666666666,644.0,-78.0
312,1,Pre,0.0,0.0,-1.9166666666666659
313,2,Pre,0.0,0.0,-3.8333333333333317
314,3,Pre,0.0,0.0,-5.749999999999998
315,4,Pre,0.0,0.0,-7.666666666666663
316,5,Pre,0.0,0.0,-9.58333333333333
317,6,Pre,0.0,0.0,-11.499999999999996
318,7,Pre,0.0,0.0,-13.41666666666666
319,8,Pre,0.0,0.0,-15.333333333333327
320,9,Pre,0.0,0.0,-17.249999999999993
321,10,Pre,0.0,0.0,-19.16666666666666
322,11,Pre,0.0,0.0,-21.08333333333333
323,12,Pre,0.0,0.0,-22.999999999999993
324,13,Pre,0.0,0.0,-24.916666666666654
325,14,Pre,0.0,0.0,-26.83333333333332
326,15,Pre,0.0,0.0,-28.749999999999993
327,16,Pre,0.0,0.0,-30.666666666666654
328,17,Pre,0.0,0.0,-32.58333333333332
329,18,Pre,0.0,0.0,-34.499999999999986
330,19,Pre,0.0,0.0,-36.41666666666666
331,20,Pre,0.0,0.0,-38.33333333333332
332,21,Pre,0.0,0.0,-40.249999999999986
333,22,Pre,0.0,0.0,-42.16666666666666
334,23,Pre,0.0,0.0,-44.08333333333332
335,24,Pre,0.0,0.0,-45.999999999999986
336,25,Pre,0.6666666666666666,0.0,-48.58333333333331
337,26,Pre,2.3333333333333335,0.0,-52.16666666666664
338,27,Pre,5.0,0.0,-56.749999999999986
339,28,Pre,6.666666666666667,0.0,-60.33333333333331
340,29,Pre,8.0,0.0,-63.58333333333331
